FREQ;Frequenza;REF_AREA;Territorio;DATA_TYPE;Indicatore;COICOP_CATEG;Gruppo di spesa;PURCH_BEHAVIOUR;Abitudine di spesa;Tempo (TIME_PERIOD);Osservazione;OBS_STATUS;'Stato dell"'osservazione'
A;Annuale;IT;Italia;FAM_VAL_PERC;Famiglie (composizione %);FOOD;Cibi;NO_PRC1Y;Un anno fa non li compravo e ho iniziato a comprarli;2018;0.2;;
A;Annuale;IT;Italia;FAM_VAL_PERC;Famiglie (composizione %);FOOD;Cibi;NO_PRC1Y;Un anno fa non li compravo e ho iniziato a comprarli;2019;0.2;;
A;Annuale;IT;Italia;FAM_VAL_PERC;Famiglie (composizione %);FOOD;Cibi;NO_PRC1Y;Un anno fa non li compravo e ho iniziato a comprarli;2020;0.2;;
A;Annuale;IT;Italia;FAM_VAL_PERC;Famiglie (composizione %);FOOD;Cibi;NO_PRC1Y;Un anno fa non li compravo e ho iniziato a comprarli;2021;0.1;;
A;Annuale;IT;Italia;FAM_VAL_PERC;Famiglie (composizione %);FOOD;Cibi;NO_PRC;Un anno fa non li compravo e continuo a non comprarli;2018;0.4;;
A;Annuale;IT;Italia;FAM_VAL_PERC;Famiglie (composizione %);FOOD;Cibi;NO_PRC;Un anno fa non li compravo e continuo a non comprarli;2019;0.3;;
A;Annuale;IT;Italia;FAM_VAL_PERC;Famiglie (composizione %);FOOD;Cibi;NO_PRC;Un anno fa non li compravo e continuo a non comprarli;2020;0.3;;
A;Annuale;IT;Italia;FAM_VAL_PERC;Famiglie (composizione %);FOOD;Cibi;NO_PRC;Un anno fa non li compravo e continuo a non comprarli;2021;0.4;;
A;Annuale;IT;Italia;FAM_VAL_PERC;Famiglie (composizione %);FOOD;Cibi;ALL;Tutte le voci;2018;100;;
A;Annuale;IT;Italia;FAM_VAL_PERC;Famiglie (composizione %);FOOD;Cibi;ALL;Tutte le voci;2019;100;;
A;Annuale;IT;Italia;FAM_VAL_PERC;Famiglie (composizione %);FOOD;Cibi;ALL;Tutte le voci;2020;100;;
A;Annuale;IT;Italia;FAM_VAL_PERC;Famiglie (composizione %);FOOD;Cibi;ALL;Tutte le voci;2021;100;;
A;Annuale;IT;Italia;FAM_VAL_PERC;Famiglie (composizione %);BEVER;Bevande;SAME_QN_QL;Un anno fa li compravo e continuo a comprarli senza modifiche;2018;60.6;;
A;Annuale;IT;Italia;FAM_VAL_PERC;Famiglie (composizione %);BEVER;Bevande;SAME_QN_QL;Un anno fa li compravo e continuo a comprarli senza modifiche;2019;63.7;;
A;Annuale;IT;Italia;FAM_VAL_PERC;Famiglie (composizione %);BEVER;Bevande;SAME_QN_QL;Un anno fa li compravo e continuo a comprarli senza modifiche;2020;67.7;;
A;Annuale;IT;Italia;FAM_VAL_PERC;Famiglie (composizione %);BEVER;Bevande;SAME_QN_QL;Un anno fa li compravo e continuo a comprarli senza modifiche;2021;65.8;;
A;Annuale;IT;Italia;FAM_VAL_PERC;Famiglie (composizione %);BEVER;Bevande;LESS_QN_QL;Un anno fa li compravo e ho limitato la spesa in quantità e/o qualità;2018;32.8;;
A;Annuale;IT;Italia;FAM_VAL_PERC;Famiglie (composizione %);BEVER;Bevande;LESS_QN_QL;Un anno fa li compravo e ho limitato la spesa in quantità e/o qualità;2019;29.9;;
A;Annuale;IT;Italia;FAM_VAL_PERC;Famiglie (composizione %);BEVER;Bevande;LESS_QN_QL;Un anno fa li compravo e ho limitato la spesa in quantità e/o qualità;2020;26.9;;
A;Annuale;IT;Italia;FAM_VAL_PERC;Famiglie (composizione %);BEVER;Bevande;LESS_QN_QL;Un anno fa li compravo e ho limitato la spesa in quantità e/o qualità;2021;28.3;;
A;Annuale;IT;Italia;FAM_VAL_PERC;Famiglie (composizione %);BEVER;Bevande;MR_QN_BT_QL;Un anno fa li compravo e ho aumentato la spesa in quantità e/o qualità;2018;1.5;;
A;Annuale;IT;Italia;FAM_VAL_PERC;Famiglie (composizione %);BEVER;Bevande;MR_QN_BT_QL;Un anno fa li compravo e ho aumentato la spesa in quantità e/o qualità;2019;1.5;;
A;Annuale;IT;Italia;FAM_VAL_PERC;Famiglie (composizione %);BEVER;Bevande;MR_QN_BT_QL;Un anno fa li compravo e ho aumentato la spesa in quantità e/o qualità;2020;1.2;;
A;Annuale;IT;Italia;FAM_VAL_PERC;Famiglie (composizione %);BEVER;Bevande;MR_QN_BT_QL;Un anno fa li compravo e ho aumentato la spesa in quantità e/o qualità;2021;1.6;;
A;Annuale;IT;Italia;FAM_VAL_PERC;Famiglie (composizione %);BEVER;Bevande;NO_PRC1Y;Un anno fa non li compravo e ho iniziato a comprarli;2018;0.3;;
A;Annuale;IT;Italia;FAM_VAL_PERC;Famiglie (composizione %);BEVER;Bevande;NO_PRC1Y;Un anno fa non li compravo e ho iniziato a comprarli;2019;0.3;;
A;Annuale;IT;Italia;FAM_VAL_PERC;Famiglie (composizione %);BEVER;Bevande;NO_PRC1Y;Un anno fa non li compravo e ho iniziato a comprarli;2020;0.2;;
A;Annuale;IT;Italia;FAM_VAL_PERC;Famiglie (composizione %);BEVER;Bevande;NO_PRC1Y;Un anno fa non li compravo e ho iniziato a comprarli;2021;0.1;;
A;Annuale;IT;Italia;FAM_VAL_PERC;Famiglie (composizione %);BEVER;Bevande;NO_PRC;Un anno fa non li compravo e continuo a non comprarli;2018;4.7;;
A;Annuale;IT;Italia;FAM_VAL_PERC;Famiglie (composizione %);BEVER;Bevande;NO_PRC;Un anno fa non li compravo e continuo a non comprarli;2019;4.5;;
A;Annuale;IT;Italia;FAM_VAL_PERC;Famiglie (composizione %);BEVER;Bevande;NO_PRC;Un anno fa non li compravo e continuo a non comprarli;2020;4;;
A;Annuale;IT;Italia;FAM_VAL_PERC;Famiglie (composizione %);BEVER;Bevande;NO_PRC;Un anno fa non li compravo e continuo a non comprarli;2021;4.2;;
A;Annuale;IT;Italia;FAM_VAL_PERC;Famiglie (composizione %);BEVER;Bevande;ALL;Tutte le voci;2018;100;;
A;Annuale;IT;Italia;FAM_VAL_PERC;Famiglie (composizione %);BEVER;Bevande;ALL;Tutte le voci;2019;100;;
A;Annuale;IT;Italia;FAM_VAL_PERC;Famiglie (composizione %);BEVER;Bevande;ALL;Tutte le voci;2020;100;;
A;Annuale;IT;Italia;FAM_VAL_PERC;Famiglie (composizione %);BEVER;Bevande;ALL;Tutte le voci;2021;100;;
A;Annuale;IT;Italia;FAM_VAL_PERC;Famiglie (composizione %);CLOT_FOOTW;Abbigliamento e calzature;SAME_QN_QL;Un anno fa li compravo e continuo a comprarli senza modifiche;2018;45.6;;
A;Annuale;IT;Italia;FAM_VAL_PERC;Famiglie (composizione %);CLOT_FOOTW;Abbigliamento e calzature;SAME_QN_QL;Un anno fa li compravo e continuo a comprarli senza modifiche;2019;50;;
A;Annuale;IT;Italia;FAM_VAL_PERC;Famiglie (composizione %);CLOT_FOOTW;Abbigliamento e calzature;SAME_QN_QL;Un anno fa li compravo e continuo a comprarli senza modifiche;2020;51;;
A;Annuale;IT;Italia;FAM_VAL_PERC;Famiglie (composizione %);CLOT_FOOTW;Abbigliamento e calzature;SAME_QN_QL;Un anno fa li compravo e continuo a comprarli senza modifiche;2021;43.7;;
A;Annuale;IT;Italia;FAM_VAL_PERC;Famiglie (composizione %);CLOT_FOOTW;Abbigliamento e calzature;LESS_QN_QL;Un anno fa li compravo e ho limitato la spesa in quantità e/o qualità;2018;46;;
A;Annuale;IT;Italia;FAM_VAL_PERC;Famiglie (composizione %);CLOT_FOOTW;Abbigliamento e calzature;LESS_QN_QL;Un anno fa li compravo e ho limitato la spesa in quantità e/o qualità;2019;42.9;;
A;Annuale;IT;Italia;FAM_VAL_PERC;Famiglie (composizione %);CLOT_FOOTW;Abbigliamento e calzature;LESS_QN_QL;Un anno fa li compravo e ho limitato la spesa in quantità e/o qualità;2020;43.6;;
A;Annuale;IT;Italia;FAM_VAL_PERC;Famiglie (composizione %);CLOT_FOOTW;Abbigliamento e calzature;LESS_QN_QL;Un anno fa li compravo e ho limitato la spesa in quantità e/o qualità;2021;50.3;;
A;Annuale;IT;Italia;FAM_VAL_PERC;Famiglie (composizione %);CLOT_FOOTW;Abbigliamento e calzature;MR_QN_BT_QL;Un anno fa li compravo e ho aumentato la spesa in quantità e/o qualità;2018;2.4;;
A;Annuale;IT;Italia;FAM_VAL_PERC;Famiglie (composizione %);CLOT_FOOTW;Abbigliamento e calzature;MR_QN_BT_QL;Un anno fa li compravo e ho aumentato la spesa in quantità e/o qualità;2019;2.3;;
A;Annuale;IT;Italia;FAM_VAL_PERC;Famiglie (composizione %);CLOT_FOOTW;Abbigliamento e calzature;MR_QN_BT_QL;Un anno fa li compravo e ho aumentato la spesa in quantità e/o qualità;2020;1.2;;
A;Annuale;IT;Italia;FAM_VAL_PERC;Famiglie (composizione %);CLOT_FOOTW;Abbigliamento e calzature;MR_QN_BT_QL;Un anno fa li compravo e ho aumentato la spesa in quantità e/o qualità;2021;1.4;;
A;Annuale;IT;Italia;FAM_VAL_PERC;Famiglie (composizione %);CLOT_FOOTW;Abbigliamento e calzature;NO_PRC1Y;Un anno fa non li compravo e ho iniziato a comprarli;2018;0.3;;
A;Annuale;IT;Italia;FAM_VAL_PERC;Famiglie (composizione %);CLOT_FOOTW;Abbigliamento e calzature;NO_PRC1Y;Un anno fa non li compravo e ho iniziato a comprarli;2019;0.2;;
A;Annuale;IT;Italia;FAM_VAL_PERC;Famiglie (composizione %);CLOT_FOOTW;Abbigliamento e calzature;NO_PRC1Y;Un anno fa non li compravo e ho iniziato a comprarli;2020;0.2;;
A;Annuale;IT;Italia;FAM_VAL_PERC;Famiglie (composizione %);CLOT_FOOTW;Abbigliamento e calzature;NO_PRC1Y;Un anno fa non li compravo e ho iniziato a comprarli;2021;0.2;;
A;Annuale;IT;Italia;FAM_VAL_PERC;Famiglie (composizione %);CLOT_FOOTW;Abbigliamento e calzature;NO_PRC;Un anno fa non li compravo e continuo a non comprarli;2018;5.7;;
A;Annuale;IT;Italia;FAM_VAL_PERC;Famiglie (composizione %);CLOT_FOOTW;Abbigliamento e calzature;NO_PRC;Un anno fa non li compravo e continuo a non comprarli;2019;4.7;;
A;Annuale;IT;Italia;FAM_VAL_PERC;Famiglie (composizione %);CLOT_FOOTW;Abbigliamento e calzature;NO_PRC;Un anno fa non li compravo e continuo a non comprarli;2020;4;;
A;Annuale;IT;Italia;FAM_VAL_PERC;Famiglie (composizione %);CLOT_FOOTW;Abbigliamento e calzature;NO_PRC;Un anno fa non li compravo e continuo a non comprarli;2021;4.5;;
A;Annuale;IT;Italia;FAM_VAL_PERC;Famiglie (composizione %);CLOT_FOOTW;Abbigliamento e calzature;ALL;Tutte le voci;2018;100;;
A;Annuale;IT;Italia;FAM_VAL_PERC;Famiglie (composizione %);CLOT_FOOTW;Abbigliamento e calzature;ALL;Tutte le voci;2019;100;;
A;Annuale;IT;Italia;FAM_VAL_PERC;Famiglie (composizione %);CLOT_FOOTW;Abbigliamento e calzature;ALL;Tutte le voci;2020;100;;
A;Annuale;IT;Italia;FAM_VAL_PERC;Famiglie (composizione %);CLOT_FOOTW;Abbigliamento e calzature;ALL;Tutte le voci;2021;100;;
A;Annuale;IT;Italia;FAM_VAL_PERC;Famiglie (composizione %);PCARE_HY;Cura e igiene personale;SAME_QN_QL;Un anno fa li compravo e continuo a comprarli senza modifiche;2018;62.2;;
A;Annuale;IT;Italia;FAM_VAL_PERC;Famiglie (composizione %);PCARE_HY;Cura e igiene personale;SAME_QN_QL;Un anno fa li compravo e continuo a comprarli senza modifiche;2019;65.1;;
A;Annuale;IT;Italia;FAM_VAL_PERC;Famiglie (composizione %);PCARE_HY;Cura e igiene personale;SAME_QN_QL;Un anno fa li compravo e continuo a comprarli senza modifiche;2020;69.1;;
A;Annuale;IT;Italia;FAM_VAL_PERC;Famiglie (composizione %);PCARE_HY;Cura e igiene personale;SAME_QN_QL;Un anno fa li compravo e continuo a comprarli senza modifiche;2021;65.6;;
A;Annuale;IT;Italia;FAM_VAL_PERC;Famiglie (composizione %);PCARE_HY;Cura e igiene personale;LESS_QN_QL;Un anno fa li compravo e ho limitato la spesa in quantità e/o qualità;2018;33.6;;
A;Annuale;IT;Italia;FAM_VAL_PERC;Famiglie (composizione %);PCARE_HY;Cura e igiene personale;LESS_QN_QL;Un anno fa li compravo e ho limitato la spesa in quantità e/o qualità;2019;31;;
A;Annuale;IT;Italia;FAM_VAL_PERC;Famiglie (composizione %);PCARE_HY;Cura e igiene personale;LESS_QN_QL;Un anno fa li compravo e ho limitato la spesa in quantità e/o qualità;2020;28.2;;
A;Annuale;IT;Italia;FAM_VAL_PERC;Famiglie (composizione %);PCARE_HY;Cura e igiene personale;LESS_QN_QL;Un anno fa li compravo e ho limitato la spesa in quantità e/o qualità;2021;31.2;;
A;Annuale;IT;Italia;FAM_VAL_PERC;Famiglie (composizione %);PCARE_HY;Cura e igiene personale;MR_QN_BT_QL;Un anno fa li compravo e ho aumentato la spesa in quantità e/o qualità;2018;2;;
A;Annuale;IT;Italia;FAM_VAL_PERC;Famiglie (composizione %);PCARE_HY;Cura e igiene personale;MR_QN_BT_QL;Un anno fa li compravo e ho aumentato la spesa in quantità e/o qualità;2019;2;;
A;Annuale;IT;Italia;FAM_VAL_PERC;Famiglie (composizione %);PCARE_HY;Cura e igiene personale;MR_QN_BT_QL;Un anno fa li compravo e ho aumentato la spesa in quantità e/o qualità;2020;1.4;;
A;Annuale;IT;Italia;FAM_VAL_PERC;Famiglie (composizione %);PCARE_HY;Cura e igiene personale;MR_QN_BT_QL;Un anno fa li compravo e ho aumentato la spesa in quantità e/o qualità;2021;1.6;;
A;Annuale;IT;Italia;FAM_VAL_PERC;Famiglie (composizione %);PCARE_HY;Cura e igiene personale;NO_PRC1Y;Un anno fa non li compravo e ho iniziato a comprarli;2018;0.2;;
A;Annuale;IT;Italia;FAM_VAL_PERC;Famiglie (composizione %);PCARE_HY;Cura e igiene personale;NO_PRC1Y;Un anno fa non li compravo e ho iniziato a comprarli;2019;0.2;;
A;Annuale;IT;Italia;FAM_VAL_PERC;Famiglie (composizione %);PCARE_HY;Cura e igiene personale;NO_PRC1Y;Un anno fa non li compravo e ho iniziato a comprarli;2020;0.1;;
A;Annuale;IT;Italia;FAM_VAL_PERC;Famiglie (composizione %);PCARE_HY;Cura e igiene personale;NO_PRC1Y;Un anno fa non li compravo e ho iniziato a comprarli;2021;0.1;;
A;Annuale;IT;Italia;FAM_VAL_PERC;Famiglie (composizione %);PCARE_HY;Cura e igiene personale;NO_PRC;Un anno fa non li compravo e continuo a non comprarli;2018;2;;
A;Annuale;IT;Italia;FAM_VAL_PERC;Famiglie (composizione %);PCARE_HY;Cura e igiene personale;NO_PRC;Un anno fa non li compravo e continuo a non comprarli;2019;1.8;;
A;Annuale;IT;Italia;FAM_VAL_PERC;Famiglie (composizione %);PCARE_HY;Cura e igiene personale;NO_PRC;Un anno fa non li compravo e continuo a non comprarli;2020;1.2;;
A;Annuale;IT;Italia;FAM_VAL_PERC;Famiglie (composizione %);PCARE_HY;Cura e igiene personale;NO_PRC;Un anno fa non li compravo e continuo a non comprarli;2021;1.5;;
A;Annuale;IT;Italia;FAM_VAL_PERC;Famiglie (composizione %);PCARE_HY;Cura e igiene personale;ALL;Tutte le voci;2018;100;;
A;Annuale;IT;Italia;FAM_VAL_PERC;Famiglie (composizione %);PCARE_HY;Cura e igiene personale;ALL;Tutte le voci;2019;100;;
A;Annuale;IT;Italia;FAM_VAL_PERC;Famiglie (composizione %);PCARE_HY;Cura e igiene personale;ALL;Tutte le voci;2020;100;;
A;Annuale;IT;Italia;FAM_VAL_PERC;Famiglie (composizione %);PCARE_HY;Cura e igiene personale;ALL;Tutte le voci;2021;100;;
A;Annuale;IT;Italia;FAM_VAL_PERC;Famiglie (composizione %);MEX_RPC;Visite mediche e accertamenti periodici preventivi;SAME_QN_QL;Un anno fa li compravo e continuo a comprarli senza modifiche;2018;74.5;;
A;Annuale;IT;Italia;FAM_VAL_PERC;Famiglie (composizione %);MEX_RPC;Visite mediche e accertamenti periodici preventivi;SAME_QN_QL;Un anno fa li compravo e continuo a comprarli senza modifiche;2019;75.2;;
A;Annuale;IT;Italia;FAM_VAL_PERC;Famiglie (composizione %);MEX_RPC;Visite mediche e accertamenti periodici preventivi;SAME_QN_QL;Un anno fa li compravo e continuo a comprarli senza modifiche;2020;78.1;;
A;Annuale;IT;Italia;FAM_VAL_PERC;Famiglie (composizione %);MEX_RPC;Visite mediche e accertamenti periodici preventivi;SAME_QN_QL;Un anno fa li compravo e continuo a comprarli senza modifiche;2021;74.6;;
A;Annuale;IT;Italia;FAM_VAL_PERC;Famiglie (composizione %);MEX_RPC;Visite mediche e accertamenti periodici preventivi;LESS_QN_QL;Un anno fa li compravo e ho limitato la spesa in quantità e/o qualità;2018;15.4;;
A;Annuale;IT;Italia;FAM_VAL_PERC;Famiglie (composizione %);MEX_RPC;Visite mediche e accertamenti periodici preventivi;LESS_QN_QL;Un anno fa li compravo e ho limitato la spesa in quantità e/o qualità;2019;14.9;;
A;Annuale;IT;Italia;FAM_VAL_PERC;Famiglie (composizione %);MEX_RPC;Visite mediche e accertamenti periodici preventivi;LESS_QN_QL;Un anno fa li compravo e ho limitato la spesa in quantità e/o qualità;2020;15.3;;
A;Annuale;IT;Italia;FAM_VAL_PERC;Famiglie (composizione %);MEX_RPC;Visite mediche e accertamenti periodici preventivi;LESS_QN_QL;Un anno fa li compravo e ho limitato la spesa in quantità e/o qualità;2021;18.1;;
A;Annuale;IT;Italia;FAM_VAL_PERC;Famiglie (composizione %);MEX_RPC;Visite mediche e accertamenti periodici preventivi;MR_QN_BT_QL;Un anno fa li compravo e ho aumentato la spesa in quantità e/o qualità;2018;5.8;;
A;Annuale;IT;Italia;FAM_VAL_PERC;Famiglie (composizione %);MEX_RPC;Visite mediche e accertamenti periodici preventivi;MR_QN_BT_QL;Un anno fa li compravo e ho aumentato la spesa in quantità e/o qualità;2019;6.1;;
A;Annuale;IT;Italia;FAM_VAL_PERC;Famiglie (composizione %);MEX_RPC;Visite mediche e accertamenti periodici preventivi;MR_QN_BT_QL;Un anno fa li compravo e ho aumentato la spesa in quantità e/o qualità;2020;3.8;;
A;Annuale;IT;Italia;FAM_VAL_PERC;Famiglie (composizione %);MEX_RPC;Visite mediche e accertamenti periodici preventivi;MR_QN_BT_QL;Un anno fa li compravo e ho aumentato la spesa in quantità e/o qualità;2021;4.3;;
A;Annuale;IT;Italia;FAM_VAL_PERC;Famiglie (composizione %);MEX_RPC;Visite mediche e accertamenti periodici preventivi;NO_PRC1Y;Un anno fa non li compravo e ho iniziato a comprarli;2018;0.6;;
A;Annuale;IT;Italia;FAM_VAL_PERC;Famiglie (composizione %);MEX_RPC;Visite mediche e accertamenti periodici preventivi;NO_PRC1Y;Un anno fa non li compravo e ho iniziato a comprarli;2019;0.5;;
A;Annuale;IT;Italia;FAM_VAL_PERC;Famiglie (composizione %);MEX_RPC;Visite mediche e accertamenti periodici preventivi;NO_PRC1Y;Un anno fa non li compravo e ho iniziato a comprarli;2020;0.2;;
A;Annuale;IT;Italia;FAM_VAL_PERC;Famiglie (composizione %);MEX_RPC;Visite mediche e accertamenti periodici preventivi;NO_PRC1Y;Un anno fa non li compravo e ho iniziato a comprarli;2021;0.3;;
A;Annuale;IT;Italia;FAM_VAL_PERC;Famiglie (composizione %);MEX_RPC;Visite mediche e accertamenti periodici preventivi;NO_PRC;Un anno fa non li compravo e continuo a non comprarli;2018;3.6;;
A;Annuale;IT;Italia;FAM_VAL_PERC;Famiglie (composizione %);MEX_RPC;Visite mediche e accertamenti periodici preventivi;NO_PRC;Un anno fa non li compravo e continuo a non comprarli;2019;3.2;;
A;Annuale;IT;Italia;FAM_VAL_PERC;Famiglie (composizione %);MEX_RPC;Visite mediche e accertamenti periodici preventivi;NO_PRC;Un anno fa non li compravo e continuo a non comprarli;2020;2.6;;
A;Annuale;IT;Italia;FAM_VAL_PERC;Famiglie (composizione %);MEX_RPC;Visite mediche e accertamenti periodici preventivi;NO_PRC;Un anno fa non li compravo e continuo a non comprarli;2021;2.7;;
A;Annuale;IT;Italia;FAM_VAL_PERC;Famiglie (composizione %);MEX_RPC;Visite mediche e accertamenti periodici preventivi;ALL;Tutte le voci;2018;100;;
A;Annuale;IT;Italia;FAM_VAL_PERC;Famiglie (composizione %);MEX_RPC;Visite mediche e accertamenti periodici preventivi;ALL;Tutte le voci;2019;100;;
A;Annuale;IT;Italia;FAM_VAL_PERC;Famiglie (composizione %);MEX_RPC;Visite mediche e accertamenti periodici preventivi;ALL;Tutte le voci;2020;100;;
A;Annuale;IT;Italia;FAM_VAL_PERC;Famiglie (composizione %);MEX_RPC;Visite mediche e accertamenti periodici preventivi;ALL;Tutte le voci;2021;100;;
A;Annuale;IT;Italia;FAM_VAL_PERC;Famiglie (composizione %);FUEL_PT;Carburanti per mezzi privati;SAME_QN_QL;Un anno fa li compravo e continuo a comprarli senza modifiche;2018;59.8;;
A;Annuale;IT;Italia;FAM_VAL_PERC;Famiglie (composizione %);FUEL_PT;Carburanti per mezzi privati;SAME_QN_QL;Un anno fa li compravo e continuo a comprarli senza modifiche;2019;62.5;;
A;Annuale;IT;Italia;FAM_VAL_PERC;Famiglie (composizione %);FUEL_PT;Carburanti per mezzi privati;SAME_QN_QL;Un anno fa li compravo e continuo a comprarli senza modifiche;2020;62.2;;
A;Annuale;IT;Italia;FAM_VAL_PERC;Famiglie (composizione %);FUEL_PT;Carburanti per mezzi privati;SAME_QN_QL;Un anno fa li compravo e continuo a comprarli senza modifiche;2021;56.2;;
A;Annuale;IT;Italia;FAM_VAL_PERC;Famiglie (composizione %);FUEL_PT;Carburanti per mezzi privati;LESS_QN_QL;Un anno fa li compravo e ho limitato la spesa in quantità e/o qualità;2018;20.9;;
A;Annuale;IT;Italia;FAM_VAL_PERC;Famiglie (composizione %);FUEL_PT;Carburanti per mezzi privati;LESS_QN_QL;Un anno fa li compravo e ho limitato la spesa in quantità e/o qualità;2019;18.9;;
A;Annuale;IT;Italia;FAM_VAL_PERC;Famiglie (composizione %);FUEL_PT;Carburanti per mezzi privati;LESS_QN_QL;Un anno fa li compravo e ho limitato la spesa in quantità e/o qualità;2020;20.5;;
A;Annuale;IT;Italia;FAM_VAL_PERC;Famiglie (composizione %);FUEL_PT;Carburanti per mezzi privati;LESS_QN_QL;Un anno fa li compravo e ho limitato la spesa in quantità e/o qualità;2021;26.3;;
A;Annuale;IT;Italia;FAM_VAL_PERC;Famiglie (composizione %);FUEL_PT;Carburanti per mezzi privati;MR_QN_BT_QL;Un anno fa li compravo e ho aumentato la spesa in quantità e/o qualità;2018;2.6;;
A;Annuale;IT;Italia;FAM_VAL_PERC;Famiglie (composizione %);FUEL_PT;Carburanti per mezzi privati;MR_QN_BT_QL;Un anno fa li compravo e ho aumentato la spesa in quantità e/o qualità;2019;2.7;;
A;Annuale;IT;Italia;FAM_VAL_PERC;Famiglie (composizione %);FUEL_PT;Carburanti per mezzi privati;MR_QN_BT_QL;Un anno fa li compravo e ho aumentato la spesa in quantità e/o qualità;2020;1.2;;
A;Annuale;IT;Italia;FAM_VAL_PERC;Famiglie (composizione %);FUEL_PT;Carburanti per mezzi privati;MR_QN_BT_QL;Un anno fa li compravo e ho aumentato la spesa in quantità e/o qualità;2021;1.9;;
A;Annuale;IT;Italia;FAM_VAL_PERC;Famiglie (composizione %);FUEL_PT;Carburanti per mezzi privati;NO_PRC1Y;Un anno fa non li compravo e ho iniziato a comprarli;2018;0.3;;
A;Annuale;IT;Italia;FAM_VAL_PERC;Famiglie (composizione %);FUEL_PT;Carburanti per mezzi privati;NO_PRC1Y;Un anno fa non li compravo e ho iniziato a comprarli;2019;0.3;;
A;Annuale;IT;Italia;FAM_VAL_PERC;Famiglie (composizione %);FUEL_PT;Carburanti per mezzi privati;NO_PRC1Y;Un anno fa non li compravo e ho iniziato a comprarli;2020;0.2;;
A;Annuale;IT;Italia;FAM_VAL_PERC;Famiglie (composizione %);FUEL_PT;Carburanti per mezzi privati;NO_PRC1Y;Un anno fa non li compravo e ho iniziato a comprarli;2021;0.1;;
A;Annuale;IT;Italia;FAM_VAL_PERC;Famiglie (composizione %);FUEL_PT;Carburanti per mezzi privati;NO_PRC;Un anno fa non li compravo e continuo a non comprarli;2018;16.4;;
A;Annuale;IT;Italia;FAM_VAL_PERC;Famiglie (composizione %);FUEL_PT;Carburanti per mezzi privati;NO_PRC;Un anno fa non li compravo e continuo a non comprarli;2019;15.6;;
A;Annuale;IT;Italia;FAM_VAL_PERC;Famiglie (composizione %);FUEL_PT;Carburanti per mezzi privati;NO_PRC;Un anno fa non li compravo e continuo a non comprarli;2020;15.8;;
A;Annuale;IT;Italia;FAM_VAL_PERC;Famiglie (composizione %);FUEL_PT;Carburanti per mezzi privati;NO_PRC;Un anno fa non li compravo e continuo a non comprarli;2021;15.4;;
A;Annuale;IT;Italia;FAM_VAL_PERC;Famiglie (composizione %);FUEL_PT;Carburanti per mezzi privati;ALL;Tutte le voci;2018;100;;
A;Annuale;IT;Italia;FAM_VAL_PERC;Famiglie (composizione %);FUEL_PT;Carburanti per mezzi privati;ALL;Tutte le voci;2019;100;;
