FREQ;Frequenza;REF_AREA;Territorio;DATA_TYPE;Indicatore;COICOP;Coicop (DESC);NUMBER_HOUSEHOLD_COMP;Numero di componenti della famiglia;Tempo (TIME_PERIOD);Osservazione;OBS_STATUS;'Stato dell"'osservazione'
A;Annuale;IT;Italia;SPESA_MEDIA;Spesa media mensile familiare (in euro correnti);01;-- prodotti alimentari e bevande analcoliche;N1;1;2021;303.68;;
A;Annuale;IT;Italia;SPESA_MEDIA;Spesa media mensile familiare (in euro correnti);01;-- prodotti alimentari e bevande analcoliche;N2;2;1997;340.75;;
A;Annuale;IT;Italia;SPESA_MEDIA;Spesa media mensile familiare (in euro correnti);01;-- prodotti alimentari e bevande analcoliche;N2;2;1998;340.86;;
A;Annuale;IT;Italia;SPESA_MEDIA;Spesa media mensile familiare (in euro correnti);01;-- prodotti alimentari e bevande analcoliche;N2;2;1999;334.08;;
A;Annuale;IT;Italia;SPESA_MEDIA;Spesa media mensile familiare (in euro correnti);01;-- prodotti alimentari e bevande analcoliche;N2;2;2000;343.76;;
A;Annuale;IT;Italia;SPESA_MEDIA;Spesa media mensile familiare (in euro correnti);01;-- prodotti alimentari e bevande analcoliche;N2;2;2001;354.28;;
A;Annuale;IT;Italia;SPESA_MEDIA;Spesa media mensile familiare (in euro correnti);01;-- prodotti alimentari e bevande analcoliche;N2;2;2002;363.4;;
A;Annuale;IT;Italia;SPESA_MEDIA;Spesa media mensile familiare (in euro correnti);01;-- prodotti alimentari e bevande analcoliche;N2;2;2003;387.48;;
A;Annuale;IT;Italia;SPESA_MEDIA;Spesa media mensile familiare (in euro correnti);01;-- prodotti alimentari e bevande analcoliche;N2;2;2004;394.73;;
A;Annuale;IT;Italia;SPESA_MEDIA;Spesa media mensile familiare (in euro correnti);01;-- prodotti alimentari e bevande analcoliche;N2;2;2005;398.75;;
A;Annuale;IT;Italia;SPESA_MEDIA;Spesa media mensile familiare (in euro correnti);01;-- prodotti alimentari e bevande analcoliche;N2;2;2006;414.61;;
A;Annuale;IT;Italia;SPESA_MEDIA;Spesa media mensile familiare (in euro correnti);01;-- prodotti alimentari e bevande analcoliche;N2;2;2007;422.04;;
A;Annuale;IT;Italia;SPESA_MEDIA;Spesa media mensile familiare (in euro correnti);01;-- prodotti alimentari e bevande analcoliche;N2;2;2008;426.22;;
A;Annuale;IT;Italia;SPESA_MEDIA;Spesa media mensile familiare (in euro correnti);01;-- prodotti alimentari e bevande analcoliche;N2;2;2009;412.55;;
A;Annuale;IT;Italia;SPESA_MEDIA;Spesa media mensile familiare (in euro correnti);01;-- prodotti alimentari e bevande analcoliche;N2;2;2010;426.73;;
A;Annuale;IT;Italia;SPESA_MEDIA;Spesa media mensile familiare (in euro correnti);01;-- prodotti alimentari e bevande analcoliche;N2;2;2011;431.46;;
A;Annuale;IT;Italia;SPESA_MEDIA;Spesa media mensile familiare (in euro correnti);01;-- prodotti alimentari e bevande analcoliche;N2;2;2012;431.87;;
A;Annuale;IT;Italia;SPESA_MEDIA;Spesa media mensile familiare (in euro correnti);01;-- prodotti alimentari e bevande analcoliche;N2;2;2013;434.12;;
A;Annuale;IT;Italia;SPESA_MEDIA;Spesa media mensile familiare (in euro correnti);01;-- prodotti alimentari e bevande analcoliche;N2;2;2014;437.41;;
A;Annuale;IT;Italia;SPESA_MEDIA;Spesa media mensile familiare (in euro correnti);01;-- prodotti alimentari e bevande analcoliche;N2;2;2015;448.76;;
A;Annuale;IT;Italia;SPESA_MEDIA;Spesa media mensile familiare (in euro correnti);01;-- prodotti alimentari e bevande analcoliche;N2;2;2016;450.53;;
A;Annuale;IT;Italia;SPESA_MEDIA;Spesa media mensile familiare (in euro correnti);01;-- prodotti alimentari e bevande analcoliche;N2;2;2017;467.18;;
A;Annuale;IT;Italia;SPESA_MEDIA;Spesa media mensile familiare (in euro correnti);01;-- prodotti alimentari e bevande analcoliche;N2;2;2018;473.24;;
A;Annuale;IT;Italia;SPESA_MEDIA;Spesa media mensile familiare (in euro correnti);01;-- prodotti alimentari e bevande analcoliche;N2;2;2019;475.67;;
A;Annuale;IT;Italia;SPESA_MEDIA;Spesa media mensile familiare (in euro correnti);01;-- prodotti alimentari e bevande analcoliche;N2;2;2020;468.74;;
A;Annuale;IT;Italia;SPESA_MEDIA;Spesa media mensile familiare (in euro correnti);01;-- prodotti alimentari e bevande analcoliche;N2;2;2021;471.08;;
A;Annuale;IT;Italia;SPESA_MEDIA;Spesa media mensile familiare (in euro correnti);01;-- prodotti alimentari e bevande analcoliche;N3;3;1997;458.06;;
A;Annuale;IT;Italia;SPESA_MEDIA;Spesa media mensile familiare (in euro correnti);01;-- prodotti alimentari e bevande analcoliche;N3;3;1998;455.28;;
A;Annuale;IT;Italia;SPESA_MEDIA;Spesa media mensile familiare (in euro correnti);01;-- prodotti alimentari e bevande analcoliche;N3;3;1999;463.13;;
A;Annuale;IT;Italia;SPESA_MEDIA;Spesa media mensile familiare (in euro correnti);01;-- prodotti alimentari e bevande analcoliche;N3;3;2000;475.56;;
A;Annuale;IT;Italia;SPESA_MEDIA;Spesa media mensile familiare (in euro correnti);01;-- prodotti alimentari e bevande analcoliche;N3;3;2001;480.78;;
A;Annuale;IT;Italia;SPESA_MEDIA;Spesa media mensile familiare (in euro correnti);01;-- prodotti alimentari e bevande analcoliche;N3;3;2002;498.32;;
A;Annuale;IT;Italia;SPESA_MEDIA;Spesa media mensile familiare (in euro correnti);01;-- prodotti alimentari e bevande analcoliche;N3;3;2003;529.05;;
A;Annuale;IT;Italia;SPESA_MEDIA;Spesa media mensile familiare (in euro correnti);01;-- prodotti alimentari e bevande analcoliche;N3;3;2004;542.33;;
A;Annuale;IT;Italia;SPESA_MEDIA;Spesa media mensile familiare (in euro correnti);01;-- prodotti alimentari e bevande analcoliche;N3;3;2005;541.74;;
A;Annuale;IT;Italia;SPESA_MEDIA;Spesa media mensile familiare (in euro correnti);01;-- prodotti alimentari e bevande analcoliche;N3;3;2006;549.53;;
A;Annuale;IT;Italia;SPESA_MEDIA;Spesa media mensile familiare (in euro correnti);01;-- prodotti alimentari e bevande analcoliche;N3;3;2007;552.42;;
A;Annuale;IT;Italia;SPESA_MEDIA;Spesa media mensile familiare (in euro correnti);01;-- prodotti alimentari e bevande analcoliche;N3;3;2008;574.76;;
A;Annuale;IT;Italia;SPESA_MEDIA;Spesa media mensile familiare (in euro correnti);01;-- prodotti alimentari e bevande analcoliche;N3;3;2009;549.68;;
A;Annuale;IT;Italia;SPESA_MEDIA;Spesa media mensile familiare (in euro correnti);01;-- prodotti alimentari e bevande analcoliche;N3;3;2010;548.59;;
A;Annuale;IT;Italia;SPESA_MEDIA;Spesa media mensile familiare (in euro correnti);01;-- prodotti alimentari e bevande analcoliche;N3;3;2011;574.34;;
A;Annuale;IT;Italia;SPESA_MEDIA;Spesa media mensile familiare (in euro correnti);01;-- prodotti alimentari e bevande analcoliche;N3;3;2012;548.99;;
A;Annuale;IT;Italia;SPESA_MEDIA;Spesa media mensile familiare (in euro correnti);01;-- prodotti alimentari e bevande analcoliche;N3;3;2013;533.87;;
A;Annuale;IT;Italia;SPESA_MEDIA;Spesa media mensile familiare (in euro correnti);01;-- prodotti alimentari e bevande analcoliche;N3;3;2014;517.89;;
A;Annuale;IT;Italia;SPESA_MEDIA;Spesa media mensile familiare (in euro correnti);01;-- prodotti alimentari e bevande analcoliche;N3;3;2015;527.09;;
A;Annuale;IT;Italia;SPESA_MEDIA;Spesa media mensile familiare (in euro correnti);01;-- prodotti alimentari e bevande analcoliche;N3;3;2016;540.45;;
A;Annuale;IT;Italia;SPESA_MEDIA;Spesa media mensile familiare (in euro correnti);01;-- prodotti alimentari e bevande analcoliche;N3;3;2017;537.71;;
A;Annuale;IT;Italia;SPESA_MEDIA;Spesa media mensile familiare (in euro correnti);01;-- prodotti alimentari e bevande analcoliche;N3;3;2018;553.82;;
A;Annuale;IT;Italia;SPESA_MEDIA;Spesa media mensile familiare (in euro correnti);01;-- prodotti alimentari e bevande analcoliche;N3;3;2019;553.05;;
A;Annuale;IT;Italia;SPESA_MEDIA;Spesa media mensile familiare (in euro correnti);01;-- prodotti alimentari e bevande analcoliche;N3;3;2020;568.16;;
A;Annuale;IT;Italia;SPESA_MEDIA;Spesa media mensile familiare (in euro correnti);01;-- prodotti alimentari e bevande analcoliche;N3;3;2021;573.3;;
A;Annuale;IT;Italia;SPESA_MEDIA;Spesa media mensile familiare (in euro correnti);01;-- prodotti alimentari e bevande analcoliche;N4;4;1997;533.52;;
A;Annuale;IT;Italia;SPESA_MEDIA;Spesa media mensile familiare (in euro correnti);01;-- prodotti alimentari e bevande analcoliche;N4;4;1998;537.32;;
A;Annuale;IT;Italia;SPESA_MEDIA;Spesa media mensile familiare (in euro correnti);01;-- prodotti alimentari e bevande analcoliche;N4;4;1999;537.47;;
A;Annuale;IT;Italia;SPESA_MEDIA;Spesa media mensile familiare (in euro correnti);01;-- prodotti alimentari e bevande analcoliche;N4;4;2000;542.41;;
A;Annuale;IT;Italia;SPESA_MEDIA;Spesa media mensile familiare (in euro correnti);01;-- prodotti alimentari e bevande analcoliche;N4;4;2001;561.98;;
A;Annuale;IT;Italia;SPESA_MEDIA;Spesa media mensile familiare (in euro correnti);01;-- prodotti alimentari e bevande analcoliche;N4;4;2002;575.25;;
A;Annuale;IT;Italia;SPESA_MEDIA;Spesa media mensile familiare (in euro correnti);01;-- prodotti alimentari e bevande analcoliche;N4;4;2003;613;;
A;Annuale;IT;Italia;SPESA_MEDIA;Spesa media mensile familiare (in euro correnti);01;-- prodotti alimentari e bevande analcoliche;N4;4;2004;610.97;;
A;Annuale;IT;Italia;SPESA_MEDIA;Spesa media mensile familiare (in euro correnti);01;-- prodotti alimentari e bevande analcoliche;N4;4;2005;624.92;;
A;Annuale;IT;Italia;SPESA_MEDIA;Spesa media mensile familiare (in euro correnti);01;-- prodotti alimentari e bevande analcoliche;N4;4;2006;651.8;;
A;Annuale;IT;Italia;SPESA_MEDIA;Spesa media mensile familiare (in euro correnti);01;-- prodotti alimentari e bevande analcoliche;N4;4;2007;638.66;;
A;Annuale;IT;Italia;SPESA_MEDIA;Spesa media mensile familiare (in euro correnti);01;-- prodotti alimentari e bevande analcoliche;N4;4;2008;649.95;;
A;Annuale;IT;Italia;SPESA_MEDIA;Spesa media mensile familiare (in euro correnti);01;-- prodotti alimentari e bevande analcoliche;N4;4;2009;626.42;;
A;Annuale;IT;Italia;SPESA_MEDIA;Spesa media mensile familiare (in euro correnti);01;-- prodotti alimentari e bevande analcoliche;N4;4;2010;629.36;;
A;Annuale;IT;Italia;SPESA_MEDIA;Spesa media mensile familiare (in euro correnti);01;-- prodotti alimentari e bevande analcoliche;N4;4;2011;652.92;;
A;Annuale;IT;Italia;SPESA_MEDIA;Spesa media mensile familiare (in euro correnti);01;-- prodotti alimentari e bevande analcoliche;N4;4;2012;611.54;;
A;Annuale;IT;Italia;SPESA_MEDIA;Spesa media mensile familiare (in euro correnti);01;-- prodotti alimentari e bevande analcoliche;N4;4;2013;601.51;;
A;Annuale;IT;Italia;SPESA_MEDIA;Spesa media mensile familiare (in euro correnti);01;-- prodotti alimentari e bevande analcoliche;N4;4;2014;592.85;;
A;Annuale;IT;Italia;SPESA_MEDIA;Spesa media mensile familiare (in euro correnti);01;-- prodotti alimentari e bevande analcoliche;N4;4;2015;594.21;;
A;Annuale;IT;Italia;SPESA_MEDIA;Spesa media mensile familiare (in euro correnti);01;-- prodotti alimentari e bevande analcoliche;N4;4;2016;587.9;;
A;Annuale;IT;Italia;SPESA_MEDIA;Spesa media mensile familiare (in euro correnti);01;-- prodotti alimentari e bevande analcoliche;N4;4;2017;614.09;;
A;Annuale;IT;Italia;SPESA_MEDIA;Spesa media mensile familiare (in euro correnti);01;-- prodotti alimentari e bevande analcoliche;N4;4;2018;632.19;;
A;Annuale;IT;Italia;SPESA_MEDIA;Spesa media mensile familiare (in euro correnti);01;-- prodotti alimentari e bevande analcoliche;N4;4;2019;630.15;;
A;Annuale;IT;Italia;SPESA_MEDIA;Spesa media mensile familiare (in euro correnti);01;-- prodotti alimentari e bevande analcoliche;N4;4;2020;640.74;;
A;Annuale;IT;Italia;SPESA_MEDIA;Spesa media mensile familiare (in euro correnti);01;-- prodotti alimentari e bevande analcoliche;N4;4;2021;638.94;;
A;Annuale;IT;Italia;SPESA_MEDIA;Spesa media mensile familiare (in euro correnti);01;-- prodotti alimentari e bevande analcoliche;N5_GE;5 e più;1997;611.55;;
A;Annuale;IT;Italia;SPESA_MEDIA;Spesa media mensile familiare (in euro correnti);01;-- prodotti alimentari e bevande analcoliche;N5_GE;5 e più;1998;601.75;;
A;Annuale;IT;Italia;SPESA_MEDIA;Spesa media mensile familiare (in euro correnti);01;-- prodotti alimentari e bevande analcoliche;N5_GE;5 e più;1999;589.51;;
A;Annuale;IT;Italia;SPESA_MEDIA;Spesa media mensile familiare (in euro correnti);01;-- prodotti alimentari e bevande analcoliche;N5_GE;5 e più;2000;610.17;;
A;Annuale;IT;Italia;SPESA_MEDIA;Spesa media mensile familiare (in euro correnti);01;-- prodotti alimentari e bevande analcoliche;N5_GE;5 e più;2001;622.35;;
A;Annuale;IT;Italia;SPESA_MEDIA;Spesa media mensile familiare (in euro correnti);01;-- prodotti alimentari e bevande analcoliche;N5_GE;5 e più;2002;663.04;;
A;Annuale;IT;Italia;SPESA_MEDIA;Spesa media mensile familiare (in euro correnti);01;-- prodotti alimentari e bevande analcoliche;N5_GE;5 e più;2003;687.09;;
A;Annuale;IT;Italia;SPESA_MEDIA;Spesa media mensile familiare (in euro correnti);01;-- prodotti alimentari e bevande analcoliche;N5_GE;5 e più;2004;709.34;;
A;Annuale;IT;Italia;SPESA_MEDIA;Spesa media mensile familiare (in euro correnti);01;-- prodotti alimentari e bevande analcoliche;N5_GE;5 e più;2005;692.65;;
A;Annuale;IT;Italia;SPESA_MEDIA;Spesa media mensile familiare (in euro correnti);01;-- prodotti alimentari e bevande analcoliche;N5_GE;5 e più;2006;716.71;;
A;Annuale;IT;Italia;SPESA_MEDIA;Spesa media mensile familiare (in euro correnti);01;-- prodotti alimentari e bevande analcoliche;N5_GE;5 e più;2007;706.86;;
A;Annuale;IT;Italia;SPESA_MEDIA;Spesa media mensile familiare (in euro correnti);01;-- prodotti alimentari e bevande analcoliche;N5_GE;5 e più;2008;722.53;;
A;Annuale;IT;Italia;SPESA_MEDIA;Spesa media mensile familiare (in euro correnti);01;-- prodotti alimentari e bevande analcoliche;N5_GE;5 e più;2009;726.56;;
A;Annuale;IT;Italia;SPESA_MEDIA;Spesa media mensile familiare (in euro correnti);01;-- prodotti alimentari e bevande analcoliche;N5_GE;5 e più;2010;702.89;;
A;Annuale;IT;Italia;SPESA_MEDIA;Spesa media mensile familiare (in euro correnti);01;-- prodotti alimentari e bevande analcoliche;N5_GE;5 e più;2011;698.7;;
A;Annuale;IT;Italia;SPESA_MEDIA;Spesa media mensile familiare (in euro correnti);01;-- prodotti alimentari e bevande analcoliche;N5_GE;5 e più;2012;694.83;;
A;Annuale;IT;Italia;SPESA_MEDIA;Spesa media mensile familiare (in euro correnti);01;-- prodotti alimentari e bevande analcoliche;N5_GE;5 e più;2013;666.68;;
A;Annuale;IT;Italia;SPESA_MEDIA;Spesa media mensile familiare (in euro correnti);01;-- prodotti alimentari e bevande analcoliche;N5_GE;5 e più;2014;669.42;;
A;Annuale;IT;Italia;SPESA_MEDIA;Spesa media mensile familiare (in euro correnti);01;-- prodotti alimentari e bevande analcoliche;N5_GE;5 e più;2015;673.73;;
A;Annuale;IT;Italia;SPESA_MEDIA;Spesa media mensile familiare (in euro correnti);01;-- prodotti alimentari e bevande analcoliche;N5_GE;5 e più;2016;680.76;;
A;Annuale;IT;Italia;SPESA_MEDIA;Spesa media mensile familiare (in euro correnti);01;-- prodotti alimentari e bevande analcoliche;N5_GE;5 e più;2017;685.66;;
A;Annuale;IT;Italia;SPESA_MEDIA;Spesa media mensile familiare (in euro correnti);01;-- prodotti alimentari e bevande analcoliche;N5_GE;5 e più;2018;698.7;;
A;Annuale;IT;Italia;SPESA_MEDIA;Spesa media mensile familiare (in euro correnti);01;-- prodotti alimentari e bevande analcoliche;N5_GE;5 e più;2019;691.38;;
A;Annuale;IT;Italia;SPESA_MEDIA;Spesa media mensile familiare (in euro correnti);01;-- prodotti alimentari e bevande analcoliche;N5_GE;5 e più;2020;736.44;;
A;Annuale;IT;Italia;SPESA_MEDIA;Spesa media mensile familiare (in euro correnti);01;-- prodotti alimentari e bevande analcoliche;N5_GE;5 e più;2021;744.3;;
A;Annuale;IT;Italia;SPESA_MEDIA;Spesa media mensile familiare (in euro correnti);011;Prodotti alimentari;N1;1;2014;253.9;;
A;Annuale;IT;Italia;SPESA_MEDIA;Spesa media mensile familiare (in euro correnti);011;Prodotti alimentari;N1;1;2015;255.19;;
A;Annuale;IT;Italia;SPESA_MEDIA;Spesa media mensile familiare (in euro correnti);011;Prodotti alimentari;N1;1;2016;267.74;;
A;Annuale;IT;Italia;SPESA_MEDIA;Spesa media mensile familiare (in euro correnti);011;Prodotti alimentari;N1;1;2017;269.57;;
A;Annuale;IT;Italia;SPESA_MEDIA;Spesa media mensile familiare (in euro correnti);011;Prodotti alimentari;N1;1;2018;261.39;;
A;Annuale;IT;Italia;SPESA_MEDIA;Spesa media mensile familiare (in euro correnti);011;Prodotti alimentari;N1;1;2019;274.12;;
A;Annuale;IT;Italia;SPESA_MEDIA;Spesa media mensile familiare (in euro correnti);011;Prodotti alimentari;N1;1;2020;275.18;;
A;Annuale;IT;Italia;SPESA_MEDIA;Spesa media mensile familiare (in euro correnti);011;Prodotti alimentari;N1;1;2021;278.83;;
A;Annuale;IT;Italia;SPESA_MEDIA;Spesa media mensile familiare (in euro correnti);011;Prodotti alimentari;N2;2;2014;406.54;;
A;Annuale;IT;Italia;SPESA_MEDIA;Spesa media mensile familiare (in euro correnti);011;Prodotti alimentari;N2;2;2015;416.24;;
A;Annuale;IT;Italia;SPESA_MEDIA;Spesa media mensile familiare (in euro correnti);011;Prodotti alimentari;N2;2;2016;418.13;;
A;Annuale;IT;Italia;SPESA_MEDIA;Spesa media mensile familiare (in euro correnti);011;Prodotti alimentari;N2;2;2017;431.13;;
A;Annuale;IT;Italia;SPESA_MEDIA;Spesa media mensile familiare (in euro correnti);011;Prodotti alimentari;N2;2;2018;435.79;;
A;Annuale;IT;Italia;SPESA_MEDIA;Spesa media mensile familiare (in euro correnti);011;Prodotti alimentari;N2;2;2019;438.36;;
A;Annuale;IT;Italia;SPESA_MEDIA;Spesa media mensile familiare (in euro correnti);011;Prodotti alimentari;N2;2;2020;433.14;;
A;Annuale;IT;Italia;SPESA_MEDIA;Spesa media mensile familiare (in euro correnti);011;Prodotti alimentari;N2;2;2021;434.95;;
A;Annuale;IT;Italia;SPESA_MEDIA;Spesa media mensile familiare (in euro correnti);011;Prodotti alimentari;N3;3;2014;478.99;;
A;Annuale;IT;Italia;SPESA_MEDIA;Spesa media mensile familiare (in euro correnti);011;Prodotti alimentari;N3;3;2015;487.74;;
A;Annuale;IT;Italia;SPESA_MEDIA;Spesa media mensile familiare (in euro correnti);011;Prodotti alimentari;N3;3;2016;498.66;;
A;Annuale;IT;Italia;SPESA_MEDIA;Spesa media mensile familiare (in euro correnti);011;Prodotti alimentari;N3;3;2017;493.75;;
A;Annuale;IT;Italia;SPESA_MEDIA;Spesa media mensile familiare (in euro correnti);011;Prodotti alimentari;N3;3;2018;508.68;;
A;Annuale;IT;Italia;SPESA_MEDIA;Spesa media mensile familiare (in euro correnti);011;Prodotti alimentari;N3;3;2019;507.48;;
A;Annuale;IT;Italia;SPESA_MEDIA;Spesa media mensile familiare (in euro correnti);011;Prodotti alimentari;N3;3;2020;523.4;;
A;Annuale;IT;Italia;SPESA_MEDIA;Spesa media mensile familiare (in euro correnti);011;Prodotti alimentari;N3;3;2021;527.65;;
A;Annuale;IT;Italia;SPESA_MEDIA;Spesa media mensile familiare (in euro correnti);011;Prodotti alimentari;N4;4;2014;550.17;;
A;Annuale;IT;Italia;SPESA_MEDIA;Spesa media mensile familiare (in euro correnti);011;Prodotti alimentari;N4;4;2015;550.04;;
A;Annuale;IT;Italia;SPESA_MEDIA;Spesa media mensile familiare (in euro correnti);011;Prodotti alimentari;N4;4;2016;544.42;;
A;Annuale;IT;Italia;SPESA_MEDIA;Spesa media mensile familiare (in euro correnti);011;Prodotti alimentari;N4;4;2017;565.17;;
A;Annuale;IT;Italia;SPESA_MEDIA;Spesa media mensile familiare (in euro correnti);011;Prodotti alimentari;N4;4;2018;580.51;;
A;Annuale;IT;Italia;SPESA_MEDIA;Spesa media mensile familiare (in euro correnti);011;Prodotti alimentari;N4;4;2019;579;;
A;Annuale;IT;Italia;SPESA_MEDIA;Spesa media mensile familiare (in euro correnti);011;Prodotti alimentari;N4;4;2020;590.16;;
A;Annuale;IT;Italia;SPESA_MEDIA;Spesa media mensile familiare (in euro correnti);011;Prodotti alimentari;N4;4;2021;587.51;;
A;Annuale;IT;Italia;SPESA_MEDIA;Spesa media mensile familiare (in euro correnti);011;Prodotti alimentari;N5_GE;5 e più;2014;622.2;;
A;Annuale;IT;Italia;SPESA_MEDIA;Spesa media mensile familiare (in euro correnti);011;Prodotti alimentari;N5_GE;5 e più;2015;627.52;;
A;Annuale;IT;Italia;SPESA_MEDIA;Spesa media mensile familiare (in euro correnti);011;Prodotti alimentari;N5_GE;5 e più;2016;627.8;;
A;Annuale;IT;Italia;SPESA_MEDIA;Spesa media mensile familiare (in euro correnti);011;Prodotti alimentari;N5_GE;5 e più;2017;632.96;;
A;Annuale;IT;Italia;SPESA_MEDIA;Spesa media mensile familiare (in euro correnti);011;Prodotti alimentari;N5_GE;5 e più;2018;644.75;;
A;Annuale;IT;Italia;SPESA_MEDIA;Spesa media mensile familiare (in euro correnti);011;Prodotti alimentari;N5_GE;5 e più;2019;636.15;;
A;Annuale;IT;Italia;SPESA_MEDIA;Spesa media mensile familiare (in euro correnti);011;Prodotti alimentari;N5_GE;5 e più;2020;678.76;;
A;Annuale;IT;Italia;SPESA_MEDIA;Spesa media mensile familiare (in euro correnti);011;Prodotti alimentari;N5_GE;5 e più;2021;684.48;;
A;Annuale;IT;Italia;SPESA_MEDIA;Spesa media mensile familiare (in euro correnti);0111;Pane e cereali;N1;1;2014;45.42;;
A;Annuale;IT;Italia;SPESA_MEDIA;Spesa media mensile familiare (in euro correnti);0111;Pane e cereali;N1;1;2015;44.72;;
A;Annuale;IT;Italia;SPESA_MEDIA;Spesa media mensile familiare (in euro correnti);0111;Pane e cereali;N1;1;2016;46.16;;
A;Annuale;IT;Italia;SPESA_MEDIA;Spesa media mensile familiare (in euro correnti);0111;Pane e cereali;N1;1;2017;46.69;;
A;Annuale;IT;Italia;SPESA_MEDIA;Spesa media mensile familiare (in euro correnti);0111;Pane e cereali;N1;1;2018;45.56;;
A;Annuale;IT;Italia;SPESA_MEDIA;Spesa media mensile familiare (in euro correnti);0111;Pane e cereali;N1;1;2019;47.61;;
A;Annuale;IT;Italia;SPESA_MEDIA;Spesa media mensile familiare (in euro correnti);0111;Pane e cereali;N1;1;2020;47.45;;
A;Annuale;IT;Italia;SPESA_MEDIA;Spesa media mensile familiare (in euro correnti);0111;Pane e cereali;N1;1;2021;48.28;;
A;Annuale;IT;Italia;SPESA_MEDIA;Spesa media mensile familiare (in euro correnti);0111;Pane e cereali;N2;2;2014;70.87;;
A;Annuale;IT;Italia;SPESA_MEDIA;Spesa media mensile familiare (in euro correnti);0111;Pane e cereali;N2;2;2015;71.27;;
